"xx","V1","V12","predicted_price"
187,"2015-03-19 02:00:00",28.3,43.864559346278
188,"2015-01-19 16:00:00",60.69,53.7228688994128
189,"2015-01-21 10:00:00",65.01,40.0641233188387
190,"2015-03-27 07:00:00",51.8,29.9474470483528
191,"2015-04-02 23:00:00",35.05,33.7207395046981
192,"2015-04-07 00:00:00",34.97,37.6717338988426
193,"2015-03-17 23:00:00",44.66,43.099295144057
194,"2015-05-22 00:00:00",38,49.1195648195731
195,"2015-04-01 03:00:00",24.65,48.9840509746905
196,"2015-04-01 01:00:00",21.9,56.7154261702664
197,"2015-03-23 04:00:00",45.83,67.4422963913269
198,"2015-09-04 14:00:00",57,65.8755882246846
199,"2015-05-26 14:00:00",49.05,63.8648949289844
200,"2015-09-04 13:00:00",57.38,57.5600255300939
201,"2015-07-01 18:00:00",61.87,48.1876342517603
202,"2015-07-13 10:00:00",70.6,56.6394483565578
203,"2015-05-28 12:00:00",54.3,49.6721567675852
204,"2015-07-03 16:00:00",58.94,46.1488645123772
205,"2015-07-14 17:00:00",61.66,54.382115188666
206,"2015-01-05 09:00:00",67.52,51.6310660755015
207,"2015-02-01 23:00:00",42.47,50.2039303779475
208,"2015-01-20 03:00:00",39.4,54.3366430378975
209,"2015-01-19 21:00:00",60.76,60.7556927002803
210,"2015-04-03 00:00:00",27.25,57.5794985746447
211,"2015-03-27 01:00:00",29.53,56.5365248112211
212,"2015-04-02 22:00:00",37.1,54.3983449311643
213,"2015-03-18 00:00:00",40.29,52.5576102905187
214,"2015-03-17 22:00:00",45.76,51.9913436434507
215,"2015-03-23 05:00:00",52,56.0135123778149
216,"2015-05-26 13:00:00",48.35,56.7081548975316
217,"2015-09-03 13:00:00",59.5,62.5562683536083
218,"2015-08-06 08:00:00",69.01,64.0672633188907
219,"2015-07-31 09:00:00",63.29,61.8796164418421
220,"2015-08-17 17:00:00",62.6,58.5188203486564
221,"2015-05-27 16:00:00",53.25,60.7035432715446
222,"2015-01-06 05:00:00",43.32,62.28426148955
223,"2015-01-05 06:00:00",63,59.461387048918
224,"2015-08-09 14:00:00",45.11,59.2670800466302
225,"2015-08-09 15:00:00",45,50.9137438411869
226,"2015-06-22 14:00:00",61,41.1871802628432
227,"2015-03-16 05:00:00",50,44.8004568146714
228,"2015-03-27 12:00:00",49.66,50.274642171541
229,"2015-05-12 19:00:00",58.19,51.8625470029883
230,"2015-07-13 07:00:00",66.47,52.0759889923544
231,"2015-10-11 09:00:00",50.1,50.1786662119438
232,"2015-09-28 09:00:00",53.65,51.084199869145
233,"2015-06-14 09:00:00",51.5,46.3145210218521
234,"2015-08-30 23:00:00",50,43.5809514071406
235,"2015-05-05 12:00:00",50.67,37.5566803433907
236,"2015-07-16 21:00:00",65.46,42.5100444970159
237,"2015-08-10 07:00:00",66,44.3943117332739
238,"2015-08-31 09:00:00",70.48,46.6402604407538
239,"2015-07-02 18:00:00",64.23,53.217969195897
240,"2015-10-09 12:00:00",58,54.2076169387345
241,"2015-08-27 18:00:00",55,47.1968161591377
242,"2015-07-14 19:00:00",62.22,45.8565839800608
243,"2015-07-10 16:00:00",62.29,47.1021995245817
244,"2015-05-27 00:00:00",36.19,49.7308329735583
245,"2015-06-11 04:00:00",55.53,51.1029368941502
246,"2015-03-11 16:00:00",43.92,49.0361981274323
247,"2015-04-26 18:00:00",35.1,14.7529219116972
248,"2015-07-11 06:00:00",48.5,26.4117971455762
249,"2015-09-01 06:00:00",60.47,69.5696848611743
250,"2015-06-11 02:00:00",52.44,50.0018721037002
251,"2015-05-27 20:00:00",53.25,41.6016324313766
252,"2015-03-27 14:00:00",49,52.7823811050097
253,"2015-05-30 20:00:00",53,55.1873097217073
254,"2015-03-20 14:00:00",41.1,52.5873146949071
255,"2015-05-01 16:00:00",42.01,46.8344881557225
256,"2015-05-14 17:00:00",34.2,59.5260627724833
257,"2015-05-05 15:00:00",50.5,52.3110482847926
258,"2015-06-11 08:00:00",65.19,28.2129131698054
259,"2015-05-21 12:00:00",48.6,47.3251364541202
260,"2015-07-06 21:00:00",60.49,46.465052824276
261,"2015-05-14 08:00:00",56.1,46.32737481155
262,"2015-04-02 12:00:00",39.69,49.8200328319219
263,"2015-05-08 12:00:00",35.68,50.5767349662675
264,"2015-08-29 07:00:00",52.85,46.1798437073716
265,"2015-06-11 18:00:00",62.51,44.4862751252618
266,"2015-02-03 12:00:00",51.38,43.4241101447143
267,"2015-05-14 23:00:00",30,42.0063900322161
268,"2015-02-21 16:00:00",17.65,44.8634061823474
269,"2015-03-05 13:00:00",27.56,44.2829791353218
270,"2015-01-05 13:00:00",60.01,46.0396491387921
271,"2015-09-21 02:00:00",49.23,45.0625243672741
272,"2015-09-05 05:00:00",42.75,45.0722152236189
273,"2015-06-11 01:00:00",52.45,47.1609511564043
274,"2015-06-23 21:00:00",55,48.3412058369781
275,"2015-06-22 00:00:00",52.67,52.6163695447925
276,"2015-08-17 02:00:00",47.94,52.8127092248878
277,"2015-06-03 22:00:00",56.7,49.889996775787
278,"2015-06-22 01:00:00",53,52.6991818978954
279,"2015-08-24 03:00:00",34,55.9069236415455
280,"2015-04-28 09:00:00",60.35,52.9725771146807
281,"2015-03-22 14:00:00",42.1,56.5318905817243
282,"2015-10-12 03:00:00",37.58,51.6043875933776
283,"2015-07-16 15:00:00",66.94,56.5930869021244
284,"2015-05-22 04:00:00",45,52.5358372961651
285,"2015-02-22 09:00:00",15.55,51.3476575690589
286,"2015-03-18 01:00:00",38.4,56.0979027877469
287,"2015-06-16 00:00:00",44.37,56.8711249808566
288,"2015-04-25 02:00:00",33.1,54.5948290238201
289,"2015-05-28 04:00:00",52,53.381456117233
290,"2015-02-03 15:00:00",43.89,54.6797394941232
291,"2015-03-30 19:00:00",55.69,50.983373949756
292,"2015-04-27 20:00:00",54.85,51.024184062229
293,"2015-04-11 19:00:00",57.6,51.1005931628471
294,"2015-03-24 08:00:00",53.69,46.9726906825179
295,"2015-06-11 03:00:00",53.92,49.595623057122
296,"2015-10-13 08:00:00",54.61,52.6172488797654
297,"2015-06-23 01:00:00",53,54.9937429106298
298,"2015-08-02 10:00:00",43.28,53.2127296312083
299,"2015-07-30 14:00:00",62.1,54.8159538919677
300,"2015-08-17 12:00:00",67.78,57.7203141793833
301,"2015-02-28 03:00:00",27.27,59.5037231193004
302,"2015-07-14 14:00:00",66.4,58.9410887298139
303,"2015-03-01 00:00:00",27.1,60.0827619624281
304,"2015-01-16 09:00:00",71.25,57.9143714188216
305,"2015-04-01 21:00:00",28,60.0360389608551
306,"2015-04-10 23:00:00",46.85,56.4647116628499
307,"2015-01-13 10:00:00",66.49,58.1659595287183
308,"2015-04-23 03:00:00",55,54.8511284748565
309,"2015-02-18 16:00:00",54,55.0582946251097
310,"2015-03-21 20:00:00",49.97,55.789995191661
311,"2015-04-29 20:00:00",62.42,52.8625130034586
312,"2015-04-25 06:00:00",40,55.3569264076598
313,"2015-03-27 09:00:00",52.19,56.4316748920161
314,"2015-02-20 11:00:00",57,59.3498230026215
315,"2015-05-05 00:00:00",25.96,59.9801210925106
316,"2015-06-27 10:00:00",65,59.7968640600564
317,"2015-06-30 09:00:00",66.5,58.4417531541335
318,"2015-07-13 17:00:00",65.42,57.4635233468139
319,"2015-02-20 02:00:00",41.11,59.8430198991635
320,"2015-02-18 19:00:00",60.19,58.6967808121791
321,"2015-07-13 15:00:00",69.27,59.1316851171972
322,"2015-07-13 14:00:00",69.1,56.2306214671043
323,"2015-03-13 07:00:00",46.07,45.4620799382028
324,"2015-08-01 16:00:00",52.04,47.695979583618
325,"2015-05-28 13:00:00",54.05,49.4479398672176
326,"2015-07-05 10:00:00",59.42,49.4806673167875
327,"2015-02-20 00:00:00",47.02,47.0656257818551
328,"2015-08-27 07:00:00",55,50.9089891147306
329,"2015-08-13 16:00:00",48.29,53.7169285070241
330,"2015-09-03 14:00:00",60.09,51.6528019651015
331,"2015-08-09 18:00:00",53,59.2303787848802
332,"2015-05-14 14:00:00",36.66,64.0207506082215
333,"2015-08-05 19:00:00",68.56,53.7883724844821
334,"2015-07-30 09:00:00",63.27,54.3220836525302
335,"2015-07-21 19:00:00",68.16,51.780976514706
336,"2015-08-14 11:00:00",67.48,53.687654649652
337,"2015-06-05 17:00:00",57.5,51.7491818555139
338,"2015-05-11 17:00:00",48.1,51.8463404672871
339,"2015-08-31 17:00:00",67.32,51.594933524953
340,"2015-07-08 11:00:00",68.1,51.2652802331478
341,"2015-10-12 21:00:00",46.3,45.3426795778893
342,"2015-05-05 08:00:00",55.08,51.8258997049144
343,"2015-10-17 07:00:00",48.13,54.9811073780472
344,"2015-09-13 05:00:00",34,53.2381207250975
345,"2015-03-02 13:00:00",47.47,48.2285771040662
346,"2015-06-23 02:00:00",53,51.4290599938496
347,"2015-10-12 10:00:00",50.52,52.3933333450184
348,"2015-05-23 10:00:00",43.1,54.5120086245677
349,"2015-06-15 16:00:00",59.75,54.7573195916877
350,"2015-09-01 08:00:00",59.57,59.5699600340374
351,"2015-10-13 14:00:00",55,57.8784970514469
352,"2015-07-14 08:00:00",66.59,52.2206286054283
353,"2015-01-09 19:00:00",69,51.1340989919354
354,"2015-05-28 01:00:00",44.72,48.5726264733605
355,"2015-05-01 20:00:00",60.01,53.5371018381067
356,"2015-03-02 15:00:00",45.94,56.1361446335296
357,"2015-06-05 05:00:00",57.5,55.2320325042249
358,"2015-03-31 17:00:00",49.69,54.1890392995735
359,"2015-04-07 10:00:00",51.15,54.6407456765518
360,"2015-07-25 04:00:00",40.94,52.906201625461
361,"2015-06-29 03:00:00",48.9,54.408188760871
362,"2015-07-11 05:00:00",45.6,53.791120484185
363,"2015-09-22 07:00:00",58,52.3731697020688
364,"2015-09-04 07:00:00",62.01,50.3667514364771
365,"2015-06-28 01:00:00",45.5,51.1241454957543
366,"2015-03-31 14:00:00",39.5,49.2268428251474
367,"2015-10-18 10:00:00",56.7,52.162636237512
368,"2015-08-25 08:00:00",64.5,50.3609119261768
